,Type_id,Strain_id
514,0,967
515,0,968
516,0,969
517,0,972
518,0,973
519,0,974
520,0,975
521,0,976
522,0,979
523,0,982
524,0,984
525,0,986
526,0,988
527,0,992
528,0,993
529,0,999
530,0,1003
531,0,1009
532,0,1011
533,0,1012
534,0,1013
535,0,1018
536,0,1021
537,0,1022
538,0,1023
539,0,1024
540,0,1025
541,0,1026
542,0,1028
543,0,1029
544,0,1030
545,0,1031
546,0,1033
547,0,1035
548,0,1037
549,0,1039
550,0,1043
551,0,1044
552,0,1045
553,0,1048
554,0,1049
555,0,1050
556,0,1052
557,0,1054
558,0,1055
559,0,1057
560,0,1058
561,0,1060
562,0,1063
563,0,1065
564,0,1066
565,0,1067
566,0,1069
567,0,1070
568,0,1071
569,0,1072
570,0,1073
571,0,1074
572,0,1081
573,0,1083
574,0,1084
575,0,1086
576,0,1090
577,0,1092
578,0,1094
579,0,1097
580,0,1098
581,0,1099
582,0,1101
583,0,1104
584,0,1108
585,0,1110
586,0,1111
587,0,1113
588,0,1119
589,0,1120
590,0,1121
591,0,1123
592,0,1124
593,0,1128
594,0,1131
595,0,1133
596,0,1134
597,0,1135
598,0,1136
599,0,1140
600,0,1143
601,0,1144
602,0,1145
603,0,1146
604,0,1147
605,0,1150
606,0,1151
607,0,1152
608,0,1154
609,0,1157
610,0,1158
611,0,1159
612,0,1160
613,0,1163
614,0,1166
615,0,1167
616,0,1168
617,0,1173
618,0,1175
619,0,1176
620,0,1177
621,0,1179
622,0,1181
623,0,1182
624,0,1183
625,0,1185
626,0,1186
627,0,1187
628,0,1191
629,0,1195
630,0,1198
631,0,1199
632,0,1203
633,0,1205
634,0,1206
635,0,1207
636,0,1208
637,0,1209
638,0,1211
639,0,1212
640,0,1214
641,0,1215
642,0,1217
643,0,1219
644,0,1220
645,0,1221
646,0,1224
647,0,1225
648,0,1226
649,0,1227
650,0,1229
651,0,1230
652,0,1231
653,0,1233
654,0,1234
655,0,1235
656,0,1236
657,0,1240
658,0,1243
659,0,1244
660,0,1245
661,0,1248
662,0,1252
663,0,1253
664,0,1254
665,0,1258
666,0,1259
667,0,1260
668,0,1261
669,0,1266
670,0,1267
671,0,1268
672,0,1269
673,0,1271
674,0,1272
675,0,1275
676,0,1277
677,0,1278
678,0,1279
679,0,1280
680,0,1281
681,0,1284
682,0,1285
683,0,1286
684,0,1288
685,0,1296
686,0,1297
687,0,1298
688,0,1300
689,0,1301
690,0,1302
691,0,1303
692,0,1304
693,0,1305
694,0,1306
695,0,1309
696,0,1310
697,0,1311
698,0,1312
699,0,1314
700,0,1315
701,0,1316
702,0,1318
703,0,1319
704,0,1321
705,0,1325
706,0,1329
707,0,1330
708,0,1332
709,0,1333
710,0,1337
711,0,1338
712,0,1341
713,0,1343
714,0,1344
715,0,1346
716,0,1348
717,0,1349
718,0,1350
719,0,1351
720,0,1352
721,0,1354
722,0,1355
723,0,1361
724,0,1362
725,0,1366
726,0,1368
727,0,1369
728,0,1371
729,0,1372
730,0,1373
731,0,1377
732,0,1379
733,0,1380
734,0,1381
735,0,1382
736,0,1383
737,0,1386
738,0,1390
739,0,1391
740,0,1396
741,0,1398
742,0,1400
743,0,1402
744,0,1403
745,0,1404
746,0,1406
747,0,1407
748,0,1409
749,0,1413
750,0,1416
751,0,1417
752,0,1418
753,0,1421
754,0,1423
755,0,1424
756,0,1430
757,0,1432
758,0,1433
759,0,1435
760,0,1436
761,0,1438
762,0,1439
763,0,1443
764,0,1444
765,0,1445
766,0,1448
767,0,1449
768,0,1452
769,0,1464
770,0,1466
771,0,1472
772,0,1476
773,0,1478
774,0,1480
775,0,1485
776,0,1487
777,0,1489
778,0,1490
779,0,1491
780,0,1493
781,0,1494
782,0,1497
783,0,1498
784,0,1499
785,0,1500
786,0,1501
787,0,1502
788,0,1503
789,0,1504
790,0,1506
791,0,1508
792,0,1509
793,0,1511
794,0,1513
795,0,1514
796,0,1516
797,0,1517
798,0,1518
799,0,1520
800,0,1521
801,0,1523
802,0,1524
803,0,1525
804,0,1526
805,0,1527
806,0,1528
807,0,1529
808,0,1531
809,0,1532
810,0,1533
811,0,1535
812,0,1537
813,0,1538
814,0,1539
815,0,1542
816,0,1544
817,0,1545
818,0,1547
819,0,1552
820,0,1561
821,0,1567
822,0,1568
823,0,1569
824,0,1570
825,0,1572
826,0,1573
827,0,1577
828,0,1580
829,0,1584
830,0,1585
831,0,1586
832,0,1588
833,0,1589
834,0,1590
835,0,1591
836,0,1592
837,0,1593
838,0,1594
839,0,1598
840,0,1601
841,0,1604
842,0,1607
843,0,1608
844,0,1612
845,0,1614
846,0,1615
847,0,1616
848,0,1617
849,0,1618
850,0,1619
851,0,1620
852,0,1626
853,0,1627
854,0,1628
855,0,1632
856,0,1633
857,0,1639
858,0,1645
859,0,1648
860,0,1649
861,0,1650
862,0,1652
863,0,1655
864,0,1661
865,0,1662
